Observation unit ID	Date	TubN_total_per_plant	TubW_total_per_plant	TubN_average_per_genotype	TubW_average_per_genotype
WUR:CE-NL99-WUR:CE229-1	1999-11-14	37	726.46		
WUR:CE-NL99-WUR:CE229-2	1999-11-14	60	1253.28		
WUR:CE-NL99-WUR:CE232-1	1999-11-14	53	1811.6		
WUR:CE-NL99-WUR:CE232-2	1999-11-14	47	1319.54		
WUR:CE-NL99-WUR:CE233-1	1999-11-14	63	777.1		
WUR:CE-NL99-WUR:CE233-2	1999-11-14	67	982.6		
WUR:CE-NL99-WUR:CE237-1	1999-11-14	71	2925.63		
WUR:CE-NL99-WUR:CE237-2	1999-11-14	50	2485.76		
WUR:CE-NL99-WUR:CE250-1	1999-11-14	50	1849.45		
WUR:CE-NL99-WUR:CE250-2	1999-11-14	23	2284.86		
WUR:CE-NL99-WUR:CE262-1	1999-11-14	52	2121.4		
WUR:CE-NL99-WUR:CE262-2	1999-11-14	67	3006.7		
WUR:CE-NL99-WUR:CE268-1	1999-11-14	44	2075.55		
WUR:CE-NL99-WUR:CE268-2	1999-11-14	43	952.85		
WUR:CE-NL99-WUR:CE276-1	1999-11-14	36	1409.3		
WUR:CE-NL99-WUR:CE276-2	1999-11-14	22	486.25		
WUR:CE-NL99-WUR:CE277-1	1999-11-14	49	434.6		
WUR:CE-NL99-WUR:CE277-2	1999-11-14	45	887.6		
WUR:CE-NL99-WUR:CE292-1	1999-11-14	75	2531.16		
WUR:CE-NL99-WUR:CE292-2	1999-11-14	130	2927.21		
WUR:CE-NL99-WUR:CE296-1	1999-11-14	80	727.45		
WUR:CE-NL99-WUR:CE296-2	1999-11-14	31	613.6		
WUR:CE-NL99-WUR:CE298-1	1999-11-14	18	472.1		
WUR:CE-NL99-WUR:CE298-2	1999-11-14	86	2457.7		
WUR:CE-NL99-WUR:CE314-1	1999-11-14	67	1977.04		
WUR:CE-NL99-WUR:CE314-2	1999-11-14	21	369.13		
WUR:CE-NL99-WUR:CE347-1	1999-11-14	93	1681.14		
WUR:CE-NL99-WUR:CE347-2	1999-11-14	65	916.47		
WUR:CE-NL99-WUR:CE350-1	1999-11-14	68	2793.8		
WUR:CE-NL99-WUR:CE350-2	1999-11-14	53	1767.9		
WUR:CE-NL99-WUR:CE386-1	1999-11-14	61	623.7		
WUR:CE-NL99-WUR:CE386-2	1999-11-14	74	1004.7		
WUR:CE-NL99-WUR:CE423-1	1999-11-14	33	1290.92		
WUR:CE-NL99-WUR:CE423-2	1999-11-14	20	576.41		
WUR:CE-NL99-WUR:CE601-1	1999-11-14	8	145.04		
WUR:CE-NL99-WUR:CE601-2	1999-11-14	67	365.56		
WUR:CE-NL99-WUR:CE602-1	1999-11-14	37	1789.14		
WUR:CE-NL99-WUR:CE602-2	1999-11-14	143	1566.95		
WUR:CE-NL99-WUR:CE603-1	1999-11-14	34	942.23		
WUR:CE-NL99-WUR:CE603-2	1999-11-14	38	1148.97		
WUR:CE-NL99-WUR:CE604-1	1999-11-14	60	1496.23		
WUR:CE-NL99-WUR:CE604-2	1999-11-14	75	1658		
WUR:CE-NL99-WUR:CE605-1	1999-11-14	25	1062.8		
WUR:CE-NL99-WUR:CE605-2	1999-11-14	22	645.3		
WUR:CE-NL99-WUR:CE606-1	1999-11-14	80	1850.54		
WUR:CE-NL99-WUR:CE606-2	1999-11-14	40	1687.38		
WUR:CE-NL99-WUR:CE607-1	1999-11-14	76	1496.43		
WUR:CE-NL99-WUR:CE607-2	1999-11-14	82	1927.1		
WUR:CE-NL99-WUR:CE608-1	1999-11-14	31	702.5		
WUR:CE-NL99-WUR:CE608-2	1999-11-14	60	1929		
WUR:CE-NL99-WUR:CE609-1	1999-11-14		32.09		
WUR:CE-NL99-WUR:CE609-2	1999-11-14		172.87		
WUR:CE-NL99-WUR:CE610-1	1999-11-14	4	63.1		
WUR:CE-NL99-WUR:CE610-2	1999-11-14	7	24.91		
WUR:CE-NL99-WUR:CE611-1	1999-11-14	29	1693.4		
WUR:CE-NL99-WUR:CE611-2	1999-11-14	41	824.89		
WUR:CE-NL99-WUR:CE612-1	1999-11-14	44	1210.72		
WUR:CE-NL99-WUR:CE612-2	1999-11-14	44	759.71		
WUR:CE-NL99-WUR:CE613-1	1999-11-14	41	1680.7		
WUR:CE-NL99-WUR:CE613-2	1999-11-14	42	1440.2		
WUR:CE-NL99-WUR:CE614-1	1999-11-14	108	1650.08		
WUR:CE-NL99-WUR:CE614-2	1999-11-14	53	1434.83		
WUR:CE-NL99-WUR:CE615-1	1999-11-14	56	1275.52		
WUR:CE-NL99-WUR:CE615-2	1999-11-14	57	1633		
WUR:CE-NL99-WUR:CE616-1	1999-11-14	215	1457.3		
WUR:CE-NL99-WUR:CE616-2	1999-11-14	84	1282.3		
WUR:CE-NL99-WUR:CE617-1	1999-11-14	73	932.43		
WUR:CE-NL99-WUR:CE617-2	1999-11-14	105	1347.32		
WUR:CE-NL99-WUR:CE619-1	1999-11-14	66	1411.1		
WUR:CE-NL99-WUR:CE619-2	1999-11-14	125	1925.41		
WUR:CE-NL99-WUR:CE620-1	1999-11-14	48	613.1		
WUR:CE-NL99-WUR:CE620-2	1999-11-14	34	623.69		
WUR:CE-NL99-WUR:CE621-1	1999-11-14	43	516.4		
WUR:CE-NL99-WUR:CE621-2	1999-11-14	125	2317.08		
WUR:CE-NL99-WUR:CE622-1	1999-11-14	67	2015		
WUR:CE-NL99-WUR:CE622-2	1999-11-14	57	1618.8		
WUR:CE-NL99-WUR:CE624-1	1999-11-14	31	1234.22		
WUR:CE-NL99-WUR:CE624-2	1999-11-14	57	2177.52		
WUR:CE-NL99-WUR:CE625-1	1999-11-14	38	1095.74		
WUR:CE-NL99-WUR:CE625-2	1999-11-14	24	545.16		
WUR:CE-NL99-WUR:CE626-1	1999-11-14	54	1534.32		
WUR:CE-NL99-WUR:CE626-2	1999-11-14	150	3155.52		
WUR:CE-NL99-WUR:CE627-1	1999-11-14	54	1064.35		
WUR:CE-NL99-WUR:CE627-2	1999-11-14	84	2117.6		
