Observation unit ID	Date	TubN_total_per_plant	TubW_total_per_plant	TubN_average_per_genotype	TubW_average_per_genotype
WUR:CE-NL99-WUR:CE741-1	1999-11-14	25	509.3		
WUR:CE-NL99-WUR:CE741-2	1999-11-14	31	1684.6		
WUR:CE-NL99-WUR:CE742-1	1999-11-14	33	713.49		
WUR:CE-NL99-WUR:CE742-2	1999-11-14	191	2551		
WUR:CE-NL99-WUR:CE743-1	1999-11-14	80	1863.08		
WUR:CE-NL99-WUR:CE743-2	1999-11-14	68	1962.79		
WUR:CE-NL99-WUR:CE746-1	1999-11-14	6	374.94		
WUR:CE-NL99-WUR:CE746-2	1999-11-14	14	233.56		
WUR:CE-NL99-WUR:CE747-1	1999-11-14	90	658.5		
WUR:CE-NL99-WUR:CE747-2	1999-11-14	74	1026.09		
WUR:CE-NL99-WUR:CE748-1	1999-11-14	72	585.04		
WUR:CE-NL99-WUR:CE748-2	1999-11-14	23	548.24		
WUR:CE-NL99-WUR:CE749-1	1999-11-14	51	1658.99		
WUR:CE-NL99-WUR:CE749-2	1999-11-14	26	636.2		
WUR:CE-NL99-WUR:CE750-1	1999-11-14	12	557.74		
WUR:CE-NL99-WUR:CE750-2	1999-11-14	8	485.96		
WUR:CE-NL99-WUR:CE752-1	1999-11-14	92	1781.6		
WUR:CE-NL99-WUR:CE752-2	1999-11-14				
WUR:CE-NL99-WUR:CE753-1	1999-11-14	87	2044.6		
WUR:CE-NL99-WUR:CE753-2	1999-11-14	58	1494.01		
WUR:CE-NL99-WUR:CE754-1	1999-11-14	21	328.49		
WUR:CE-NL99-WUR:CE754-2	1999-11-14	26	324.91		
WUR:CE-NL99-WUR:CE755-1	1999-11-14		405.11		
WUR:CE-NL99-WUR:CE755-2	1999-11-14		184.41		
WUR:CE-NL99-WUR:CE756-1	1999-11-14	94	2082.05		
WUR:CE-NL99-WUR:CE756-2	1999-11-14	136	2019.06		
WUR:CE-NL99-WUR:CE757-1	1999-11-14	24	1086.79		
WUR:CE-NL99-WUR:CE757-2	1999-11-14	51	1513.5		
WUR:CE-NL99-WUR:CE758-1	1999-11-14				
WUR:CE-NL99-WUR:CE758-2	1999-11-14				
WUR:CE-NL99-WUR:CE759-1	1999-11-14	24	34.4		
WUR:CE-NL99-WUR:CE759-2	1999-11-14	51	484.9		
WUR:CE-NL99-WUR:CE760-1	1999-11-14	42	1197.61		
WUR:CE-NL99-WUR:CE760-2	1999-11-14	66	1516.7		
WUR:CE-NL99-WUR:CE761-1	1999-11-14	74	1993.62		
WUR:CE-NL99-WUR:CE761-2	1999-11-14	45	1503.32		
WUR:CE-NL99-WUR:CE762-1	1999-11-14	111	1489.05		
WUR:CE-NL99-WUR:CE762-2	1999-11-14	82	1203.94		
WUR:CE-NL99-WUR:CE763-1	1999-11-14	28	599.74		
WUR:CE-NL99-WUR:CE763-2	1999-11-14	27	1092.84		
WUR:CE-NL99-WUR:CE764-1	1999-11-14	50	1339.9		
WUR:CE-NL99-WUR:CE764-2	1999-11-14				
WUR:CE-NL99-WUR:CE765-1	1999-11-14	130	2902.2		
WUR:CE-NL99-WUR:CE765-2	1999-11-14	118	2840.5		
WUR:CE-NL99-WUR:CE766-1	1999-11-14	58	641.9		
WUR:CE-NL99-WUR:CE766-2	1999-11-14				
WUR:CE-NL99-WUR:CE767-1	1999-11-14	76	661.38		
WUR:CE-NL99-WUR:CE767-2	1999-11-14	58	473.02		
WUR:CE-NL99-WUR:CE768-1	1999-11-14	193	609.61		
WUR:CE-NL99-WUR:CE768-2	1999-11-14	93	916.11		
WUR:CE-NL99-WUR:CE769-1	1999-11-14	28	565.28		
WUR:CE-NL99-WUR:CE769-2	1999-11-14	28	793.87		
WUR:CE-NL99-WUR:CE770-1	1999-11-14	127	1988.9		
WUR:CE-NL99-WUR:CE770-2	1999-11-14	125	1588.14		
WUR:CE-NL99-WUR:CE772-1	1999-11-14	25	358.36		
WUR:CE-NL99-WUR:CE772-2	1999-11-14	70	758.64		
WUR:CE-NL99-WUR:CE773-1	1999-11-14	87	1725.59		
WUR:CE-NL99-WUR:CE773-2	1999-11-14	60	1603.99		
WUR:CE-NL99-WUR:CE774-1	1999-11-14	78	2494.71		
WUR:CE-NL99-WUR:CE774-2	1999-11-14	27	704.89		
WUR:CE-NL99-WUR:CE775-1	1999-11-14	116	1280.2		
WUR:CE-NL99-WUR:CE775-2	1999-11-14	91	1151.47		
WUR:CE-NL99-WUR:CE776-1	1999-11-14	96	1279.7		
WUR:CE-NL99-WUR:CE776-2	1999-11-14	79	1005.46		
WUR:CE-NL99-WUR:CE777-1	1999-11-14	166	1415.6		
WUR:CE-NL99-WUR:CE777-2	1999-11-14	188	1765.7		
WUR:CE-NL99-WUR:CE778-1	1999-11-14	56	942.07		
WUR:CE-NL99-WUR:CE778-2	1999-11-14	230	2467.11		
WUR:CE-NL99-WUR:CE779-1	1999-11-14	44	829.8		
WUR:CE-NL99-WUR:CE779-2	1999-11-14				
WUR:CE-NL99-WUR:CE780-1	1999-11-14	166	1884.4		
WUR:CE-NL99-WUR:CE780-2	1999-11-14	28	258.03		
WUR:CE-NL99-WUR:CE781-1	1999-11-14	94	2324.51		
WUR:CE-NL99-WUR:CE781-2	1999-11-14	22	199.08		
WUR:CE-NL99-WUR:CE782-1	1999-11-14				
WUR:CE-NL99-WUR:CE782-2	1999-11-14				
WUR:CE-NL99-WUR:CE783-1	1999-11-14	20	709.7		
WUR:CE-NL99-WUR:CE783-2	1999-11-14	151	2577.27		
WUR:CE-NL99-WUR:CE785-1	1999-11-14	95	1551.8		
WUR:CE-NL99-WUR:CE785-2	1999-11-14	47	1118.28		
WUR:CE-NL99-WUR:CE786-1	1999-11-14	105	1606.4		
WUR:CE-NL99-WUR:CE786-2	1999-11-14	115	2038.3		
WUR:CE-NL99-WUR:CE787-1	1999-11-14	102	2437.1		
WUR:CE-NL99-WUR:CE787-2	1999-11-14	29	642.9		
WUR:CE-NL99-WUR:CE788-1	1999-11-14	77	599.98		
WUR:CE-NL99-WUR:CE788-2	1999-11-14	128	1852.72		
WUR:CE-NL99-WUR:CE800-1	1999-11-14	170	1186.3		
WUR:CE-NL99-WUR:CE800-2	1999-11-14	565	3204.25		
WUR:CE-NL99-WUR:CE850-1	1999-11-14	145	1104.79		
WUR:CE-NL99-WUR:CE850-2	1999-11-14				
WUR:CE-NL99-WUR:C	1999-11-14			13.045	586.396
WUR:CE-NL99-WUR:E	1999-11-14			27.222	2112.245
