Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-92-1	2010-12-01	4	15	16	395	20	410
WUR:CE-ETH10-1-92-2	2010-12-01	4	15	9	385	13	400
WUR:CE-ETH10-1-92-3	2010-12-01	1	5	10	396	11	401
WUR:CE-ETH10-1-92-4	2010-12-01	8	25	10	220	18	245
WUR:CE-ETH10-1-93-1	2010-12-01	18	180	18	310	36	490
WUR:CE-ETH10-1-93-2	2010-12-01	9	30	16	395	25	425
WUR:CE-ETH10-1-93-3	2010-12-01	9	30	8	190	17	220
WUR:CE-ETH10-1-93-4	2010-12-01	2	10	4	120	6	130
WUR:CE-ETH10-1-94-1	2010-12-01	2	10	9	170	11	180
WUR:CE-ETH10-1-94-2	2010-12-01	3	7	9	195	12	202
WUR:CE-ETH10-1-94-3	2010-12-01	4	20	9	165	13	185
WUR:CE-ETH10-1-94-4	2010-12-01	6	15	5	160	11	175
WUR:CE-ETH10-1-95-1	2010-12-01			4	170	4	170
WUR:CE-ETH10-1-95-2	2010-12-01	5	15	13	225	18	240
WUR:CE-ETH10-1-95-3	2010-12-01	4	15	7	145	11	160
WUR:CE-ETH10-1-95-4	2010-12-01	1	5	10	335	11	340
WUR:CE-ETH10-1-96-1	2010-12-01	1	5	11	620	12	625
WUR:CE-ETH10-1-96-2	2010-12-01	4	15	14	750	18	765
WUR:CE-ETH10-1-96-3	2010-12-01	9	25	11	565	20	590
WUR:CE-ETH10-1-96-4	2010-12-01	3	15	15	730	18	745
WUR:CE-ETH10-1-97-1	2010-12-01			6	425	6	425
WUR:CE-ETH10-1-97-2	2010-12-01	2	5	6	320	8	325
WUR:CE-ETH10-1-97-3	2010-12-01	3	15	4	185	7	200
WUR:CE-ETH10-1-97-4	2010-12-01	2	15	11	430	13	445
WUR:CE-ETH10-1-98-1	2010-12-01	1	3	4	195	5	198
WUR:CE-ETH10-1-98-2	2010-12-01	4	10	7	249	11	259
WUR:CE-ETH10-1-98-3	2010-12-01	3	20	8	370	11	390
WUR:CE-ETH10-1-98-4	2010-12-01	1	10	6	195	7	205
WUR:CE-ETH10-1-99-1	2010-12-01	4	25	5	165	9	190
WUR:CE-ETH10-1-99-2	2010-12-01	3	15	2	65	5	80
WUR:CE-ETH10-1-99-3	2010-12-01	8	105	7	210	15	315
WUR:CE-ETH10-1-99-4	2010-12-01	3	20	8	205	11	225
WUR:CE-ETH10-1-100-1	2010-12-01	3	15	6	225	9	240
WUR:CE-ETH10-1-100-2	2010-12-01	10	15	10	475	20	490
WUR:CE-ETH10-1-100-3	2010-12-01			9	460	9	460
WUR:CE-ETH10-1-100-4	2010-12-01	1	5	7	195	8	200
WUR:CE-ETH10-1-101-1	2010-12-01	5	25	10	345	15	370
WUR:CE-ETH10-1-101-2	2010-12-01	11	35	6	120	17	155
WUR:CE-ETH10-1-101-3	2010-12-01	4	15	7	200	11	215
WUR:CE-ETH10-1-101-4	2010-12-01	8	45	13	380	21	425
WUR:CE-ETH10-1-102-1	2010-12-01	5	10	6	165	11	175
WUR:CE-ETH10-1-102-2	2010-12-01	5	25	3	75	8	100
WUR:CE-ETH10-1-102-3	2010-12-01	7	65	7	200	14	265
WUR:CE-ETH10-1-102-4	2010-12-01	5	25	4	190	9	215
WUR:CE-ETH10-1-103-1	2010-12-01	5	10	1	6	6	16
WUR:CE-ETH10-1-103-2	2010-12-01	8	30	6	146	14	176
WUR:CE-ETH10-1-103-3	2010-12-01	13	110	4	105	17	215
WUR:CE-ETH10-1-103-4	2010-12-01	6	25	4	107	10	132
WUR:CE-ETH10-1-104-1	2010-12-01	2	5	8	225	10	230
WUR:CE-ETH10-1-104-2	2010-12-01	1	5	7	390	8	395
WUR:CE-ETH10-1-104-3	2010-12-01	2	10	8	395	10	405
WUR:CE-ETH10-1-104-4	2010-12-01	1	3	8	195	9	198
WUR:CE-ETH10-1-105-1	2010-12-01	3	10	6	195	9	205
WUR:CE-ETH10-1-105-2	2010-12-01	13	200	11	200	24	400
WUR:CE-ETH10-1-105-3	2010-12-01	6	25	10	397	16	422
WUR:CE-ETH10-1-105-4	2010-12-01	3	10	11	210	14	220
WUR:CE-ETH10-1-106-1	2010-12-01	1	3	7	260	8	263
WUR:CE-ETH10-1-106-2	2010-12-01	6	30	14	395	20	425
WUR:CE-ETH10-1-106-3	2010-12-01			21	450	21	450
WUR:CE-ETH10-1-106-4	2010-12-01	6	30	14	365	20	395
WUR:CE-ETH10-1-107-1	2010-12-01	2	5	6	580	8	585
WUR:CE-ETH10-1-107-2	2010-12-01			9	385	9	385
WUR:CE-ETH10-1-107-3	2010-12-01	2	5	5	195	7	200
WUR:CE-ETH10-1-107-4	2010-12-01	2	7	7	185	9	192
WUR:CE-ETH10-1-108-1	2010-12-01	3	15	10	585	13	600
WUR:CE-ETH10-1-108-2	2010-12-01	3	10	10	355	13	365
WUR:CE-ETH10-1-108-3	2010-12-01	3	15	16	1015	19	1030
WUR:CE-ETH10-1-108-4	2010-12-01	2	8	10	385	12	393
WUR:CE-ETH10-1-109-1	2010-12-01					0	0
WUR:CE-ETH10-1-109-2	2010-12-01	4	15	7	380	11	395
WUR:CE-ETH10-1-109-3	2010-12-01	4	15	7	180	11	195
WUR:CE-ETH10-1-109-4	2010-12-01	14	95	3	125	17	220
WUR:CE-ETH10-1-110-1	2010-12-01	5	30	12	380	17	410
WUR:CE-ETH10-1-110-2	2010-12-01	3	10	8	185	11	195
WUR:CE-ETH10-1-110-3	2010-12-01	4	15	11	195	15	210
WUR:CE-ETH10-1-110-4	2010-12-01	1	5	9	200	10	205
WUR:CE-ETH10-1-111-1	2010-12-01	3	20	12	280	15	300
WUR:CE-ETH10-1-111-2	2010-12-01	3	15	10	295	13	310
WUR:CE-ETH10-1-111-3	2010-12-01	6	15	4	90	10	105
WUR:CE-ETH10-1-111-4	2010-12-01	2	10	5	170	7	180
WUR:CE-ETH10-1-112-1	2010-12-01	2	6	10	275	12	281
WUR:CE-ETH10-1-112-2	2010-12-01	5	15	15	858	20	873
WUR:CE-ETH10-1-112-3	2010-12-01	1	5	11	240	12	245
WUR:CE-ETH10-1-112-4	2010-12-01			16	590	16	590
WUR:CE-ETH10-1-113-1	2010-12-01	8	35	12	280	20	315
WUR:CE-ETH10-1-113-2	2010-12-01	9	20	13	370	22	390
WUR:CE-ETH10-1-113-3	2010-12-01	4	15	10	240	14	255
WUR:CE-ETH10-1-113-4	2010-12-01	3	10	21	600	24	610
WUR:CE-ETH10-1-114-1	2010-12-01	3	5	13	585	16	590
WUR:CE-ETH10-1-114-2	2010-12-01			7	195	7	195
WUR:CE-ETH10-1-114-3	2010-12-01	5	15	24	590	29	605
WUR:CE-ETH10-1-114-4	2010-12-01	1	5	15	395	16	400
WUR:CE-ETH10-1-115-1	2010-12-01	10	65	7	305	17	370
WUR:CE-ETH10-1-115-2	2010-12-01	7	50	14	260	21	310
WUR:CE-ETH10-1-115-3	2010-12-01	5	22	10	395	15	417
WUR:CE-ETH10-1-115-4	2010-12-01	10	65	20	400	30	465
WUR:CE-ETH10-1-116-1	2010-12-01	2	10	13	225	15	235
WUR:CE-ETH10-1-116-2	2010-12-01			11	195	11	195
WUR:CE-ETH10-1-116-3	2010-12-01	1	8	12	290	13	298
WUR:CE-ETH10-1-116-4	2010-12-01	7	30	22	590	29	620
WUR:CE-ETH10-1-117-1	2010-12-01	10	35	8	195	18	230
WUR:CE-ETH10-1-117-2	2010-12-01	22	115	14	595	36	710
WUR:CE-ETH10-1-117-3	2010-12-01	8	35	5	100	13	135
WUR:CE-ETH10-1-117-4	2010-12-01	4	25	2	50	6	75
WUR:CE-ETH10-1-118-1	2010-12-01	5	15	10	225	15	240
WUR:CE-ETH10-1-118-2	2010-12-01	6	25	9	390	15	415
WUR:CE-ETH10-1-118-3	2010-12-01	16	85	18	520	34	605
WUR:CE-ETH10-1-118-4	2010-12-01	11	65	13	690	24	755
WUR:CE-ETH10-1-119-1	2010-12-01	14	160	20	452	34	612
WUR:CE-ETH10-1-119-2	2010-12-01	17	65	12	285	29	350
WUR:CE-ETH10-1-119-3	2010-12-01	40	70	15	185	55	255
WUR:CE-ETH10-1-119-4	2010-12-01	7	30	14	380	21	410
WUR:CE-ETH10-1-120-1	2010-12-01	3	8	15	385	18	393
WUR:CE-ETH10-1-120-2	2010-12-01	7	35	21	395	28	430
WUR:CE-ETH10-1-120-3	2010-12-01	7	25	9	190	16	215
WUR:CE-ETH10-1-120-4	2010-12-01	9	40	13	310	22	350
WUR:CE-ETH10-1-121-1	2010-12-01	20	65	9	80	29	145
WUR:CE-ETH10-1-121-2	2010-12-01	8	20	4	50	12	70
WUR:CE-ETH10-1-121-3	2010-12-01	4	15	4	90	8	105
WUR:CE-ETH10-1-121-4	2010-12-01	9	45	10	140	19	185
WUR:CE-ETH10-1-122-1	2010-12-01	7	15	20	595	27	610
WUR:CE-ETH10-1-122-2	2010-12-01	2	5	13	380	15	385
WUR:CE-ETH10-1-122-3	2010-12-01	7	25	11	300	18	325
WUR:CE-ETH10-1-122-4	2010-12-01	6	25	14	360	20	385
WUR:CE-ETH10-1-123-1	2010-12-01	9	35	6	250	15	285
WUR:CE-ETH10-1-123-2	2010-12-01	6	15	8	170	14	185
WUR:CE-ETH10-1-123-3	2010-12-01	6	25	10	170	16	195
WUR:CE-ETH10-1-123-4	2010-12-01	7	35	9	185	16	220
WUR:CE-ETH10-1-124-1	2010-12-01	5	40	7	220	12	260
WUR:CE-ETH10-1-124-2	2010-12-01	4	20	7	395	11	415
WUR:CE-ETH10-1-124-3	2010-12-01	1	5	7	320	8	325
WUR:CE-ETH10-1-124-4	2010-12-01			5	265	5	265
WUR:CE-ETH10-1-125-1	2010-12-01	6	85	2	145	8	230
WUR:CE-ETH10-1-125-2	2010-12-01	4	25	6	290	10	315
WUR:CE-ETH10-1-125-3	2010-12-01	7	90	7	225	14	315
WUR:CE-ETH10-1-125-4	2010-12-01	9	65	13	540	22	605
WUR:CE-ETH10-1-126-1	2010-12-01	2	10	3	145	5	155
WUR:CE-ETH10-1-126-2	2010-12-01	2	10	4	140	6	150
WUR:CE-ETH10-1-126-3	2010-12-01	6	17	5	170	11	187
WUR:CE-ETH10-1-126-4	2010-12-01	1	5	7	380	8	385
WUR:CE-ETH10-1-127-1	2010-12-01	30	160	19	540	49	700
WUR:CE-ETH10-1-127-2	2010-12-01	24	125	7	180	31	305
WUR:CE-ETH10-1-127-3	2010-12-01	32	140	13	285	45	425
WUR:CE-ETH10-1-127-4	2010-12-01	6	35	1	25	7	60
WUR:CE-ETH10-1-128-1	2010-12-01	10	45	16	360	26	405
WUR:CE-ETH10-1-128-2	2010-12-01	4	195	11	350	15	545
WUR:CE-ETH10-1-128-3	2010-12-01	6	30	13	180	19	210
WUR:CE-ETH10-1-128-4	2010-12-01	6	30	8	85	14	115
WUR:CE-ETH10-1-129-1	2010-12-01	5	30	6	185	11	215
WUR:CE-ETH10-1-129-2	2010-12-01	9	25	11	195	20	220
WUR:CE-ETH10-1-129-3	2010-12-01	4	30	5	165	9	195
WUR:CE-ETH10-1-129-4	2010-12-01	8	40			8	40
WUR:CE-ETH10-1-130-1	2010-12-01	6	32	4	90	10	122
WUR:CE-ETH10-1-130-2	2010-12-01	8	35			8	35
WUR:CE-ETH10-1-130-3	2010-12-01	9	40	9	180	18	220
WUR:CE-ETH10-1-130-4	2010-12-01	10	65	6	170	16	235
WUR:CE-ETH10-1-131-1	2010-12-01	10	35			10	35
WUR:CE-ETH10-1-131-2	2010-12-01	1	5	8	180	9	185
WUR:CE-ETH10-1-131-3	2010-12-01	3	15	8	320	11	335
WUR:CE-ETH10-1-131-4	2010-12-01					0	0
WUR:CE-ETH10-1-132-1	2010-12-01	11	45	9	215	20	260
WUR:CE-ETH10-1-132-2	2010-12-01	7	30	10	200	17	230
WUR:CE-ETH10-1-132-3	2010-12-01	7	25	6	190	13	215
WUR:CE-ETH10-1-132-4	2010-12-01	9	95	6	165	15	260
WUR:CE-ETH10-1-133-1	2010-12-01	2	5	7	230	9	235
WUR:CE-ETH10-1-133-2	2010-12-01	4	15	5	205	9	220
WUR:CE-ETH10-1-133-3	2010-12-01	6	35	4	170	10	205
WUR:CE-ETH10-1-133-4	2010-12-01	1	5	9	370	10	375
WUR:CE-ETH10-1-134-1	2010-12-01	2	20	4	220	6	240
WUR:CE-ETH10-1-134-2	2010-12-01	1	5	4	220	5	225
WUR:CE-ETH10-1-134-3	2010-12-01	2	5	7	175	9	180
WUR:CE-ETH10-1-134-4	2010-12-01	3	25	3	145	6	170
WUR:CE-ETH10-1-135-1	2010-12-01	11	35	7	185	18	220
WUR:CE-ETH10-1-135-2	2010-12-01	4	15	7	120	11	135
WUR:CE-ETH10-1-135-3	2010-12-01	8	120	8	235	16	355
WUR:CE-ETH10-1-135-4	2010-12-01	11	25	10	350	21	375
WUR:CE-ETH10-1-136-1	2010-12-01	8	20	23	395	31	415
WUR:CE-ETH10-1-136-2	2010-12-01	4	15	12	380	16	395
WUR:CE-ETH10-1-136-3	2010-12-01	10	35	19	670	29	705
WUR:CE-ETH10-1-136-4	2010-12-01	3	15	21	320	24	335
WUR:CE-ETH10-1-137-1	2010-12-01	3	15	10	380	13	395
WUR:CE-ETH10-1-137-2	2010-12-01	2	5	10	200	12	205
WUR:CE-ETH10-1-137-3	2010-12-01	2	5	4	140	6	145
WUR:CE-ETH10-1-137-4	2010-12-01	4	15	12	395	16	410
WUR:CE-ETH10-1-138-1	2010-12-01	5	20	9	265	14	285
WUR:CE-ETH10-1-138-2	2010-12-01	3	10	5	180	8	190
WUR:CE-ETH10-1-138-3	2010-12-01	8	35	7	380	15	415
WUR:CE-ETH10-1-138-4	2010-12-01	3	15	7	190	10	205
WUR:CE-ETH10-1-139-1	2010-12-01	2	10	9	445	11	455
WUR:CE-ETH10-1-139-2	2010-12-01			13	685	13	685
WUR:CE-ETH10-1-139-3	2010-12-01	2	5	9	335	11	340
WUR:CE-ETH10-1-139-4	2010-12-01			12	460	12	460
WUR:CE-ETH10-1-140-1	2010-12-01	5	25	12	330	17	355
WUR:CE-ETH10-1-140-2	2010-12-01	3	5	6	185	9	190
WUR:CE-ETH10-1-140-3	2010-12-01	13	15	10	200	23	215
WUR:CE-ETH10-1-140-4	2010-12-01	5	25	13	285	18	310
WUR:CE-ETH10-1-141-1	2010-12-01	6	30	7	380	13	410
WUR:CE-ETH10-1-141-2	2010-12-01	5	15	7	390	12	405
WUR:CE-ETH10-1-141-3	2010-12-01	6	25	12	500	18	525
WUR:CE-ETH10-1-141-4	2010-12-01	2	10	8	300	10	310
WUR:CE-ETH10-1-142-1	2010-12-01	1	5	10	195	11	200
WUR:CE-ETH10-1-142-2	2010-12-01	7	40	6	240	13	280
WUR:CE-ETH10-1-142-3	2010-12-01	5	30	6	180	11	210
WUR:CE-ETH10-1-142-4	2010-12-01			11	195	11	195
WUR:CE-ETH10-1-143-1	2010-12-01	14	80	12	385	26	465
WUR:CE-ETH10-1-143-2	2010-12-01	8	35	20	595	28	630
WUR:CE-ETH10-1-143-3	2010-12-01	30	185	7	145	37	330
WUR:CE-ETH10-1-143-4	2010-12-01	8	35	10	380	18	415
WUR:CE-ETH10-1-144-1	2010-12-01	5	15	5	165	10	180
WUR:CE-ETH10-1-144-2	2010-12-01	6	25	7	165	13	190
WUR:CE-ETH10-1-144-3	2010-12-01	3	15	9	380	12	395
WUR:CE-ETH10-1-144-4	2010-12-01	2	5	10	195	12	200
WUR:CE-ETH10-1-145-1	2010-12-01	4	15	8	380	12	395
WUR:CE-ETH10-1-145-2	2010-12-01	12	95	4	180	16	275
WUR:CE-ETH10-1-145-3	2010-12-01	2	5	12	510	14	515
WUR:CE-ETH10-1-145-4	2010-12-01	9	25	13	400	22	425
WUR:CE-ETH10-1-146-1	2010-12-01	3	10	10	590	13	600
WUR:CE-ETH10-1-146-2	2010-12-01	3	10	9	380	12	390
WUR:CE-ETH10-1-146-3	2010-12-01	9	25	16	770	25	795
WUR:CE-ETH10-1-146-4	2010-12-01	2	5	10	460	12	465
WUR:CE-ETH10-1-147-1	2010-12-01	2	5	9	480	11	485
WUR:CE-ETH10-1-147-2	2010-12-01	3	5	8	240	11	245
WUR:CE-ETH10-1-147-3	2010-12-01	5	25	14	890	19	915
WUR:CE-ETH10-1-147-4	2010-12-01			7	335	7	335
WUR:CE-ETH10-1-148-1	2010-12-01	7	30	6	195	13	225
WUR:CE-ETH10-1-148-2	2010-12-01	9	45	25	545	34	590
WUR:CE-ETH10-1-148-3	2010-12-01	8	40	12	390	20	430
WUR:CE-ETH10-1-148-4	2010-12-01	4	20	12	400	16	420
WUR:CE-ETH10-1-149-1	2010-12-01	7	25	8	195	15	220
WUR:CE-ETH10-1-149-2	2010-12-01	1	5	3	140	4	145
WUR:CE-ETH10-1-149-3	2010-12-01	5	25	6	190	11	215
WUR:CE-ETH10-1-149-4	2010-12-01	1	5	5	110	6	115
WUR:CE-ETH10-1-150-1	2010-12-01	4	15	11	350	15	365
WUR:CE-ETH10-1-150-2	2010-12-01	8	30	10	350	18	380
WUR:CE-ETH10-1-150-3	2010-12-01	1	5	3	120	4	125
WUR:CE-ETH10-1-150-4	2010-12-01	5	40	11	380	16	420
WUR:CE-ETH10-1-151-1	2010-12-01	12	65	5	155	17	220
WUR:CE-ETH10-1-151-2	2010-12-01	8	35	15	560	23	595
WUR:CE-ETH10-1-151-3	2010-12-01	3	10	4	165	7	175
WUR:CE-ETH10-1-151-4	2010-12-01	5	25	13	370	18	395
WUR:CE-ETH10-1-152-1	2010-12-01	5	10	8	445	13	455
WUR:CE-ETH10-1-152-2	2010-12-01	9	45	8	475	17	520
WUR:CE-ETH10-1-152-3	2010-12-01	3	15	13	780	16	795
WUR:CE-ETH10-1-152-4	2010-12-01	1	5	12	440	13	445
WUR:CE-ETH10-1-153-1	2010-12-01	5	20	8	195	13	215
WUR:CE-ETH10-1-153-2	2010-12-01	7	35	9	210	16	245
WUR:CE-ETH10-1-153-3	2010-12-01	6	25	6	190	12	215
WUR:CE-ETH10-1-153-4	2010-12-01	1	5	6	195	7	200
WUR:CE-ETH10-1-154-1	2010-12-01	2	8	3	105	5	113
WUR:CE-ETH10-1-154-2	2010-12-01	6	35	4	150	10	185
WUR:CE-ETH10-1-154-3	2010-12-01	14	140	6	340	20	480
WUR:CE-ETH10-1-154-4	2010-12-01	1	7	4	190	5	197
WUR:CE-ETH10-1-155-1	2010-12-01	14	35	18	395	32	430
WUR:CE-ETH10-1-155-2	2010-12-01	8	25	14	340	22	365
WUR:CE-ETH10-1-155-3	2010-12-01	4	20	13	370	17	390
WUR:CE-ETH10-1-155-4	2010-12-01	10	25	11	405	21	430
WUR:CE-ETH10-1-156-1	2010-12-01	10	40	19	575	29	615
WUR:CE-ETH10-1-156-2	2010-12-01	2	10	14	580	16	590
WUR:CE-ETH10-1-156-3	2010-12-01	13	45	9	220	22	265
WUR:CE-ETH10-1-156-4	2010-12-01	7	25	5	395	12	420
WUR:CE-ETH10-1-157-1	2010-12-01	2	8	5	190	7	198
WUR:CE-ETH10-1-157-2	2010-12-01	4	25	3	170	7	195
WUR:CE-ETH10-1-157-3	2010-12-01	2	10	8	410	10	420
WUR:CE-ETH10-1-157-4	2010-12-01	2	5	5	195	7	200
WUR:CE-ETH10-1-158-1	2010-12-01	3	15	5	195	8	210
WUR:CE-ETH10-1-158-2	2010-12-01	4	20	8	40	12	60
WUR:CE-ETH10-1-158-3	2010-12-01	5	100	5	180	10	280
WUR:CE-ETH10-1-158-4	2010-12-01	3	10	7	200	10	210
WUR:CE-ETH10-1-159-1	2010-12-01			5	195	5	195
WUR:CE-ETH10-1-159-2	2010-12-01			4	190	4	190
WUR:CE-ETH10-1-159-3	2010-12-01			4	105	4	105
WUR:CE-ETH10-1-159-4	2010-12-01	1	5	7	145	8	150
WUR:CE-ETH10-1-160-1	2010-12-01	3	15	10	360	13	375
WUR:CE-ETH10-1-160-2	2010-12-01	2	10	22	645	24	655
WUR:CE-ETH10-1-160-3	2010-12-01	3	10	18	600	21	610
WUR:CE-ETH10-1-160-4	2010-12-01	4	25	16	580	20	605
WUR:CE-ETH10-1-161-1	2010-12-01	7	35	24	590	31	625
WUR:CE-ETH10-1-161-2	2010-12-01	1	5	8	215	9	220
WUR:CE-ETH10-1-161-3	2010-12-01	1	5	11	235	12	240
WUR:CE-ETH10-1-161-4	2010-12-01	7	35	14	365	21	400
WUR:CE-ETH10-1-162-1	2010-12-01	10	30			10	30
WUR:CE-ETH10-1-162-2	2010-12-01	6	45	11	225	17	270
WUR:CE-ETH10-1-162-3	2010-12-01	7	20	7	165	14	185
WUR:CE-ETH10-1-162-4	2010-12-01	6	30			6	30
WUR:CE-ETH10-1-163-1	2010-12-01	3	15	6	180	9	195
WUR:CE-ETH10-1-163-2	2010-12-01			7	170	7	170
WUR:CE-ETH10-1-163-3	2010-12-01	2	10	7	160	9	170
WUR:CE-ETH10-1-163-4	2010-12-01	1	5	6	140	7	145
WUR:CE-ETH10-1-164-1	2010-12-01	8	35	12	185	20	220
WUR:CE-ETH10-1-164-2	2010-12-01	14	45	12	195	26	240
WUR:CE-ETH10-1-164-3	2010-12-01	9	45	10	170	19	215
WUR:CE-ETH10-1-164-4	2010-12-01	13	40	6	140	19	180
WUR:CE-ETH10-1-165-1	2010-12-01	5	35	5	115	10	150
WUR:CE-ETH10-1-165-2	2010-12-01	2	10	9	180	11	190
WUR:CE-ETH10-1-165-3	2010-12-01	3	10	22	380	25	390
WUR:CE-ETH10-1-165-4	2010-12-01	1	5	14	335	15	340
WUR:CE-ETH10-1-166-1	2010-12-01	3	15	8	620	11	635
WUR:CE-ETH10-1-166-2	2010-12-01			7	200	7	200
WUR:CE-ETH10-1-166-3	2010-12-01			13	1025	13	1025
WUR:CE-ETH10-1-166-4	2010-12-01	3	10	16	610	19	620
WUR:CE-ETH10-1-167-1	2010-12-01	4	20	6	160	10	180
WUR:CE-ETH10-1-167-2	2010-12-01	8	30	9	150	17	180
WUR:CE-ETH10-1-167-3	2010-12-01	8	25	13	220	21	245
WUR:CE-ETH10-1-167-4	2010-12-01	8	27	17	205	25	232
WUR:CE-ETH10-1-168-1	2010-12-01	8	30	9	180	17	210
WUR:CE-ETH10-1-168-2	2010-12-01	9	65			9	65
WUR:CE-ETH10-1-168-3	2010-12-01					0	0
WUR:CE-ETH10-1-168-4	2010-12-01	5	25	3	65	8	90
WUR:CE-ETH10-1-169-1	2010-12-01	3	10	13	610	16	620
WUR:CE-ETH10-1-169-2	2010-12-01	7	30	14	395	21	425
WUR:CE-ETH10-1-169-3	2010-12-01	1	5	7	300	8	305
WUR:CE-ETH10-1-169-4	2010-12-01	1	5	8	185	9	190
WUR:CE-ETH10-1-170-1	2010-12-01	1	5	9	440	10	445
WUR:CE-ETH10-1-170-2	2010-12-01	4	25	4	160	8	185
WUR:CE-ETH10-1-170-3	2010-12-01	7	35	10	365	17	400
WUR:CE-ETH10-1-170-4	2010-12-01	4	25	6	195	10	220
WUR:CE-ETH10-1-171-1	2010-12-01	5	25	13	380	18	405
WUR:CE-ETH10-1-171-2	2010-12-01			9	200	9	200
WUR:CE-ETH10-1-171-3	2010-12-01	2	5	10	315	12	320
WUR:CE-ETH10-1-171-4	2010-12-01	9	50	5	60	14	110
WUR:CE-ETH10-1-172-1	2010-12-01	2	10	7	360	9	370
WUR:CE-ETH10-1-172-2	2010-12-01			8	285	8	285
WUR:CE-ETH10-1-172-3	2010-12-01	3	15	1	20	4	35
WUR:CE-ETH10-1-172-4	2010-12-01	2	10	1	20	3	30
WUR:CE-ETH10-1-173-1	2010-12-01					0	0
WUR:CE-ETH10-1-173-2	2010-12-01					0	0
WUR:CE-ETH10-1-173-3	2010-12-01					0	0
WUR:CE-ETH10-1-173-4	2010-12-01					0	0
WUR:CE-ETH10-1-174-1	2010-12-01			4	395	4	395
WUR:CE-ETH10-1-174-2	2010-12-01	2	10	10	200	12	210
WUR:CE-ETH10-1-174-3	2010-12-01			7	365	7	365
WUR:CE-ETH10-1-174-4	2010-12-01			9	200	9	200
WUR:CE-ETH10-1-175-1	2010-12-01			4	110	4	110
WUR:CE-ETH10-1-175-2	2010-12-01	1	5	2	55	3	60
WUR:CE-ETH10-1-175-3	2010-12-01	1	5	10	580	11	585
WUR:CE-ETH10-1-175-4	2010-12-01			6	295	6	295
WUR:CE-ETH10-1-176-1	2010-12-01	2	10	6	260	8	270
WUR:CE-ETH10-1-176-2	2010-12-01			7	395	7	395
WUR:CE-ETH10-1-176-3	2010-12-01	1	3	12	320	13	323
WUR:CE-ETH10-1-176-4	2010-12-01			7	270	7	270
WUR:CE-ETH10-1-177-1	2010-12-01	1	5	12	530	13	535
WUR:CE-ETH10-1-177-2	2010-12-01			12	380	12	380
WUR:CE-ETH10-1-177-3	2010-12-01	1	5	7	180	8	185
WUR:CE-ETH10-1-177-4	2010-12-01			9	195	9	195
WUR:CE-ETH10-1-178-1	2010-12-01					0	0
WUR:CE-ETH10-1-178-2	2010-12-01					0	0
WUR:CE-ETH10-1-178-3	2010-12-01					0	0
WUR:CE-ETH10-1-178-4	2010-12-01					0	0
WUR:CE-ETH10-1-179-1	2010-12-01	2	5	14	520	16	525
WUR:CE-ETH10-1-179-2	2010-12-01	3	15	15	595	18	610
WUR:CE-ETH10-1-179-3	2010-12-01	1	5	11	600	12	605
WUR:CE-ETH10-1-179-4	2010-12-01	1	4	15	590	16	594
WUR:CE-ETH10-1-180-1	2010-12-01	1	5	8	250	9	255
WUR:CE-ETH10-1-180-2	2010-12-01			7	205	7	205
WUR:CE-ETH10-1-180-3	2010-12-01	2		11	340	13	340
WUR:CE-ETH10-1-180-4	2010-12-01			4	265	4	265
WUR:CE-ETH10-1-181-1	2010-12-01	2	10	16	580	18	590
WUR:CE-ETH10-1-181-2	2010-12-01	6	30	18	830	24	860
WUR:CE-ETH10-1-181-3	2010-12-01	5	10	10	425	15	435
WUR:CE-ETH10-1-181-4	2010-12-01	1	5	14	780	15	785
WUR:CE-ETH10-1-182-1	2010-12-01	1	5	9	395	10	400
WUR:CE-ETH10-1-182-2	2010-12-01	3	15	13	770	16	785
WUR:CE-ETH10-1-182-3	2010-12-01	1	5	11	415	12	420
WUR:CE-ETH10-1-182-4	2010-12-01	3	15	16	810	19	825
WUR:CE-ETH10-1-183-1	2010-12-01	1	5	14	820	15	825
WUR:CE-ETH10-1-183-2	2010-12-01	4	10	14	605	18	615
WUR:CE-ETH10-1-183-3	2010-12-01	1	3	14	995	15	998
WUR:CE-ETH10-1-183-4	2010-12-01			13	440	13	440
WUR:CE-ETH10-1-184-1	2010-12-01	3	15	11	440	14	455
WUR:CE-ETH10-1-184-2	2010-12-01	1	5	11	840	12	845
WUR:CE-ETH10-1-184-3	2010-12-01	3	10	7	500	10	510
WUR:CE-ETH10-1-184-4	2010-12-01	2	10	19	775	21	785
WUR:CE-ETH10-1-185-1	2010-12-01			16	855	16	855
WUR:CE-ETH10-1-185-2	2010-12-01			15	1265	15	1265
WUR:CE-ETH10-1-185-3	2010-12-01			15	670	15	670
WUR:CE-ETH10-1-185-4	2010-12-01	3	10	15	640	18	650
WUR:CE-ETH10-1-186-1	2010-12-01	1	10	3	115	4	125
WUR:CE-ETH10-1-186-2	2010-12-01	2	5	4	145	6	150
WUR:CE-ETH10-1-186-3	2010-12-01	4	30	4	195	8	225
WUR:CE-ETH10-1-186-4	2010-12-01			4	145	4	145
WUR:CE-ETH10-1-187-1	2010-12-01			14	595	14	595
WUR:CE-ETH10-1-187-2	2010-12-01			5	215	5	215
WUR:CE-ETH10-1-187-3	2010-12-01	12	60	11	550	23	610
