Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-22-2	2010-12-01	4	20	5	275	9	295
WUR:CE-ETH10-1-22-3	2010-12-01	2	7	6	310	8	317
WUR:CE-ETH10-1-22-4	2010-12-01	3	4	7	280	10	284
WUR:CE-ETH10-1-23-1	2010-12-01	4	20	14	385	18	405
WUR:CE-ETH10-1-23-2	2010-12-01	6	25	16	420	22	445
WUR:CE-ETH10-1-23-3	2010-12-01	4	15	5	250	9	265
WUR:CE-ETH10-1-23-4	2010-12-01	4	13	14	382	18	395
WUR:CE-ETH10-1-24-1	2010-12-01	3	10	9	220	12	230
WUR:CE-ETH10-1-24-2	2010-12-01	6	35	9	605	15	640
WUR:CE-ETH10-1-24-3	2010-12-01	5	25	14	370	19	395
WUR:CE-ETH10-1-24-4	2010-12-01	3	7	5	200	8	207
WUR:CE-ETH10-1-25-1	2010-12-01	6	25	5	225	11	250
WUR:CE-ETH10-1-25-2	2010-12-01	10	35	11	280	21	315
WUR:CE-ETH10-1-25-3	2010-12-01	19	90	11	225	30	315
WUR:CE-ETH10-1-25-4	2010-12-01	10	35	6	140	16	175
WUR:CE-ETH10-1-26-1	2010-12-01	3	15	8	325	11	340
WUR:CE-ETH10-1-26-2	2010-12-01	8	15	9	290	17	305
WUR:CE-ETH10-1-26-3	2010-12-01	3	7	8	350	11	357
WUR:CE-ETH10-1-26-4	2010-12-01	3	10	9	205	12	215
WUR:CE-ETH10-1-27-1	2010-12-01	7	40	9	385	16	425
WUR:CE-ETH10-1-27-2	2010-12-01	9	20	12	395	21	415
WUR:CE-ETH10-1-27-3	2010-12-01	2	10	4	185	6	195
WUR:CE-ETH10-1-27-4	2010-12-01	4	15	6	195	10	210
WUR:CE-ETH10-1-28-1	2010-12-01	13	60	13	205	26	265
WUR:CE-ETH10-1-28-2	2010-12-01	4	10	15	200	19	210
WUR:CE-ETH10-1-28-3	2010-12-01	2	8	13	220	15	228
WUR:CE-ETH10-1-28-4	2010-12-01	4	12	8	165	12	177
WUR:CE-ETH10-1-29-1	2010-12-01	5	12	10	215	15	227
WUR:CE-ETH10-1-29-2	2010-12-01	5	30	10	215	15	245
WUR:CE-ETH10-1-29-3	2010-12-01	3	12	11	395	14	407
WUR:CE-ETH10-1-29-4	2010-12-01	6	35	10	380	16	415
WUR:CE-ETH10-1-30-1	2010-12-01			6	95	6	95
WUR:CE-ETH10-1-30-2	2010-12-01	8	37	16	580	24	617
WUR:CE-ETH10-1-30-3	2010-12-01	3	10	7	195	10	205
WUR:CE-ETH10-1-30-4	2010-12-01	7	25	9	220	16	245
WUR:CE-ETH10-1-31-1	2010-12-01	7	35	5	190	12	225
WUR:CE-ETH10-1-31-2	2010-12-01	3	20	5	200	8	220
WUR:CE-ETH10-1-31-3	2010-12-01	5	42	7	210	12	252
WUR:CE-ETH10-1-31-4	2010-12-01	10	70	5	195	15	265
WUR:CE-ETH10-1-32-1	2010-12-01	16	39	6	75	22	114
WUR:CE-ETH10-1-32-2	2010-12-01	9	23	5	60	14	83
WUR:CE-ETH10-1-32-3	2010-12-01	19	55	10	200	29	255
WUR:CE-ETH10-1-32-4	2010-12-01	10	30	10	195	20	225
